StaphA,StaphB,StaphC,StaphD,Sample,Timepoint
0.024,0.02568,0.02832,0.026376,Control,0
0.033,0.03531,0.03894,0.036267,Control,0
0.034,0.03638,0.04012,0.037366,Phage1,0
0.035,0.03745,0.0413,0.038465,Phage1,0
0.035,0.03745,0.0413,0.038465,Phage2,0
0.031,0.03317,0.03658,0.034069,Phage2,0
0.0504,0.053928,0.059472,0.0553896,Control,1
0.0693,0.074151,0.081774,0.0761607,Control,1
0.0374,0.040018,0.044132,0.0411026,Phage1,1
0.0385,0.041195,0.04543,0.0423115,Phage1,1
0.0364,0.038948,0.042952,0.0400036,Phage2,1
0.03224,0.0344968,0.0380432,0.03543176,Phage2,1
0.10584,0.1132488,0.1248912,0.11631816,Control,2
0.14553,0.1557171,0.1717254,0.15993747,Control,2
0.04114,0.0440198,0.0485452,0.04521286,Phage1,2
0.04235,0.0453145,0.049973,0.04654265,Phage1,2
0.037856,0.04050592,0.04467008,0.041603744,Phage2,2
0.0335296,0.035876672,0.039564928,0.03684903,Phage2,2
